IDX,Norman_SusDat_ID,DTXSID,dtxcid,cas_number,Name,inchi,inchiKey
1,NS00000001,DTXSID60144515,DTXCID0067006,102-65-8,Sulfaclozine,"InChI=1S/C10H9ClN4O2S/c11-9-5-13-6-10(14-9)15-18(16,17)8-3-1-7(12)2-4-8/h1-6H,12H2,(H,14,15)",QKLPUVXBJHRFQZ-UHFFFAOYSA-N
2,NS00000002,DTXSID9045265,DTXCID7025265,80-32-0,Sulfachloropyridazine,"InChI=1S/C10H9ClN4O2S/c11-9-5-6-10(14-13-9)15-18(16,17)8-3-1-7(12)2-4-8/h1-6H,12H2,(H,14,15)",XOXHILFPRYWFOD-UHFFFAOYSA-N
3,NS00000003,DTXSID1023609,DTXCID103609,57-67-0,Sulfaguanidine,"InChI=1S/C7H10N4O2S/c8-5-1-3-6(4-2-5)14(12,13)11-7(9)10/h1-4H,8H2,(H4,9,10,11)",BRBKOPJOKNSWSG-UHFFFAOYSA-N
4,NS00000004,DTXSID0023612,DTXCID603612,127-79-7,Sulfamerazine,"InChI=1S/C11H12N4O2S/c1-8-6-7-13-11(14-8)15-18(16,17)10-4-2-9(12)3-5-10/h2-7H,12H2,1H3,(H,13,14,15)",QPPBRPIAZZHUNT-UHFFFAOYSA-N
5,NS00000005,DTXSID5023615,DTXCID803615,144-82-1,Sulfamethizole,"InChI=1S/C9H10N4O2S2/c1-6-11-12-9(16-6)13-17(14,15)8-4-2-7(10)3-5-8/h2-5H,10H2,1H3,(H,12,13)",VACCAVUAMIDAGB-UHFFFAOYSA-N
6,NS00000006,DTXSID5023617,DTXCID603617,729-99-7,Sulfamoxole,"InChI=1S/C11H13N3O3S/c1-7-8(2)17-11(13-7)14-18(15,16)10-5-3-9(12)4-6-10/h3-6H,12H2,1-2H3,(H,13,14)",CYFLXLSBHQBMFT-UHFFFAOYSA-N
7,NS00000007,DTXSID4023622,DTXCID903622,63-74-1,Sulfanilamide,"InChI=1S/C6H8N2O2S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,7H2,(H2,8,9,10)",FDDDEECHVMSUSB-UHFFFAOYSA-N
8,NS00000009,DTXSID2046701,DTXCID00819917,55297-95-5,Tiamulin,"InChI=1S/C28H47NO4S/c1-8-26(6)17-22(33-23(31)18-34-16-15-29(9-2)10-3)27(7)19(4)11-13-28(20(5)25(26)32)14-12-21(30)24(27)28/h8,19-20,22,24-25,32H,1,9-18H2,2-7H3/t19-,20+,22-,24+,25+,26-,27+,28+/m1/s1",UURAUHCOJAIIRQ-QGLSALSOSA-N
9,NS00000010,DTXSID4057768,DTXCID5031557,54029-12-8,Albendazole oxide,"InChI=1S/C12H15N3O3S/c1-3-6-19(17)8-4-5-9-10(7-8)14-11(13-9)15-12(16)18-2/h4-5,7H,3,6H2,1-2H3,(H2,13,14,15,16)",VXTGHWHFYNYFFV-UHFFFAOYSA-N
10,NS00000011,DTXSID3057773,DTXCID4031562,55779-18-5,Arprinocid,"InChI=1S/C12H9ClFN5/c13-8-2-1-3-9(14)7(8)4-19-6-18-10-11(15)16-5-17-12(10)19/h1-3,5-6H,4H2,(H2,15,16,17)",NAPNOSFRRMHNBJ-UHFFFAOYSA-N
