IDX,NORMAN_SusDat_ID,DTXSID,concentration_value,concentration_unit,time_point,IDX_l,station_water_combined,lat,lon,station_name_n,country,water_body_name_n,river_basin_name_n,COORDS,EARTH,EUROPE,MARINE,DETECTED,AGGREGATED,DTXSID_AVAILABLE
10624,NS00000276,DTXSID3024318,0,mg/l,2005-06-29T00:00:00Z,585,lestijoki 10800 8tien s_river lestijoki,64.0627,23.6554,lestijoki 10800 8tien s,Finland,,,True,True,True,,False,False,True
3316,NS00010269,DTXSID4024272,0,mg/l,2002-10-01T00:00:00Z,255,scp ruzomberok as_vah,,,scp ruzomberok as,Slovakia,vah,danube,False,False,False,False,False,False,True
19860,NS00006349,DTXSID1024122,0.000017000001,mg/l,2000-02-15T00:00:00Z,647,odense a ns ejby sluse 945_odense a,58.9852,61.40019,odense a ns ejby sluse 945,Denmark,odense a,dk1,True,True,False,False,True,False,True
14330,NS00008895,DTXSID3034872,0,mg/l,2003-11-26T00:00:00Z,624,borup baek so f lammestrup borup baek dk2 dk_borup baek,68.6265,61.55386,borup baek so f lammestrup borup baek dk2 dk,Denmark,borup baek,dk2,True,True,False,False,False,False,True
1160,NS00000037,DTXSID3023425,0,mg/l,2005-06-01T00:00:00Z,130,pamplona downstream_arga,42.814444,0.748333,pamplona downstream,Spain,arga,ebro,True,True,True,False,False,False,True
10557,NS00000276,DTXSID3024318,0,mg/l,2005-07-19T00:00:00Z,570,aura 54 ohikulku va6401 river aurajoki aurajoki basin fi_river aurajoki,60.4728,22.3576,aura 54 ohikulku va6401 river aurajoki aurajoki basin fi,Finland,,,True,True,True,,False,False,True
11534,NS00000261,DTXSID0037495,0,mg/l,2003-07-01T00:00:00Z,614,bastrup so bastrup so dk1 dk_bastrup so,70.491,61.9087,bastrup so bastrup so dk1 dk,Denmark,lake bastrup,dk1,True,True,False,False,False,False,True
5684,NS00000207,DTXSID4022731,0.000045,mg/l,2006-09-06T00:00:00Z,536,isle vienne_vienne,45.6,1.517222,isle vienne,France,vienne,loire bretagne,True,True,True,False,True,False,True
29470,NS00000212,DTXSID6022923,1.05413616509524E-06,mg/l,2007-08-18T19:30:00Z,840,oberloiben_danube,48.3837109236,15.5310311633,oberloiben,Austria,danube,danube,True,True,True,False,True,False,True
614,NS00010281,DTXSID0020652,0.00001,mg/l,2007-02-20T00:00:00Z,89,san mauro torinese_po,,,san mauro torinese,Italy,lambro,po,False,False,False,False,True,False,True
12104,NS00010410,DTXSID7047568,0,mg/l,2001-08-09T00:00:00Z,614,bastrup so bastrup so dk1 dk_bastrup so,70.491,61.9087,bastrup so bastrup so dk1 dk,Denmark,lake bastrup,dk1,True,True,False,False,False,False,True
15824,NS00008490,DTXSID5037494,0,mg/l,2001-06-14T00:00:00Z,647,odense a ns ejby sluse 945_odense a,58.9852,61.40019,odense a ns ejby sluse 945,Denmark,odense a,dk1,True,True,False,False,False,False,True
18964,NS00010438,DTXSID8034580,0,mg/l,2001-10-15T00:00:00Z,648,skjellegroften skjellerupgroften_skjellegroften,53.122,62.35147,skjellegroften skjellerupgroften,Denmark,skjellegroften,dk1,True,True,False,False,False,False,True
